,Close,High,Low,Open,Date,Volume
161,98.7681,98.8034,98.7681,98.79,2021-12-03,2036
162,98.595,98.595,98.595,98.595,2021-12-06,38
163,98.51,98.51,98.51,98.51,2021-12-07,88
164,98.445,98.445,98.391,98.391,2021-12-08,752
165,98.4688,98.4946,98.4688,98.48,2021-12-09,308
166,98.51,98.51,98.51,98.51,2021-12-10,71
167,98.635,98.635,98.5666,98.5666,2021-12-13,1116
168,98.545,98.545,98.545,98.545,2021-12-14,3
169,98.4436,98.4436,98.434,98.434,2021-12-15,1005
170,98.6512,98.6512,98.6245,98.631,2021-12-16,597
171,98.64,98.64,98.64,98.64,2021-12-17,54
172,98.645,98.645,98.645,98.645,2021-12-20,48
173,98.5,98.5,98.5,98.5,2021-12-21,199
174,98.5918,98.5918,98.5918,98.5918,2021-12-22,2
175,98.5417,98.5417,98.53,98.53,2021-12-23,505
176,98.55,98.55,98.27,98.54,2021-12-27,2513
177,98.59,98.61,98.59,98.61,2021-12-28,160
178,98.485,98.485,98.47,98.47,2021-12-29,402
179,98.6095,98.6095,98.6095,98.6095,2021-12-30,83
180,98.585,98.585,98.585,98.585,2021-12-31,5
181,98.2947,98.31,98.2947,98.31,2022-01-03,177
182,98.2915,98.2915,98.28,98.28,2022-01-04,356148
183,98.0964,98.27,98.0901,98.25,2022-01-05,356863
184,97.985,97.985,97.985,97.985,2022-01-06,104
185,97.8946,97.8946,97.8946,97.8946,2022-01-07,3
186,97.8451,97.9,97.83,97.84,2022-01-10,8362
187,97.9223,97.9223,97.85,97.85,2022-01-11,103
188,97.92,97.925,97.92,97.925,2022-01-12,104
189,97.991,97.991,97.991,97.991,2022-01-13,2
190,97.735,97.8085,97.735,97.8085,2022-01-14,133
191,97.4107,97.44,97.4107,97.44,2022-01-18,163
192,97.4942,97.505,97.4942,97.505,2022-01-19,103
193,97.5026,97.5026,97.5026,97.5026,2022-01-20,2
194,97.69,97.69,97.69,97.69,2022-01-21,84
195,97.7102,97.84,97.7102,97.7699,2022-01-24,6378
196,97.6316,97.6701,97.6316,97.6701,2022-01-25,106
197,97.3395,97.3395,97.3395,97.3395,2022-01-26,5
198,97.31,97.389,97.31,97.389,2022-01-27,206
199,97.4121,97.4121,97.311,97.311,2022-01-28,925
200,97.4174,97.451,97.4174,97.451,2022-01-31,935
201,97.4,97.405,97.4,97.405,2022-02-01,280
202,97.4742,97.4742,97.4742,97.4742,2022-02-02,4
203,97.3099,97.3099,97.255,97.309,2022-02-03,221
204,96.925,96.929,96.925,96.929,2022-02-04,104
205,96.9684,96.9684,96.9504,96.9504,2022-02-07,502
206,96.8277,96.8277,96.8277,96.8277,2022-02-08,3
207,96.855,96.855,96.855,96.855,2022-02-09,2
208,96.2838,96.2838,96.2838,96.2838,2022-02-10,2
209,96.6854,96.6854,96.6854,96.6854,2022-02-11,4
210,96.4243,96.4243,96.4243,96.4243,2022-02-14,13
211,96.355,96.359,96.355,96.359,2022-02-15,103
212,96.4341,96.4341,96.4341,96.4341,2022-02-16,2
213,96.5672,96.5672,96.5672,96.5672,2022-02-17,4
214,96.6423,96.6423,96.6423,96.6423,2022-02-18,2
215,96.5239,96.55,96.5239,96.54,2022-02-22,156012
216,96.3904,96.3904,96.3904,96.3904,2022-02-23,22
217,96.4816,96.4816,96.4816,96.4816,2022-02-24,48
218,96.495,96.495,96.495,96.495,2022-02-25,10
219,96.9391,96.9391,96.9391,96.9391,2022-02-28,43
220,97.2921,97.2921,97.28,97.28,2022-03-01,107
221,96.7511,97.05,96.7511,97.05,2022-03-02,316
222,96.7938,96.7938,96.7938,96.7938,2022-03-03,4
223,97.0564,97.0564,97.0564,97.0564,2022-03-04,14
224,96.8178,96.8178,96.8178,96.8178,2022-03-07,2
225,96.465,96.465,96.465,96.465,2022-03-08,23
226,96.2619,96.2619,96.2619,96.2619,2022-03-09,30
227,96.085,96.085,96.085,96.085,2022-03-10,5
228,96.0301,96.0301,96.0301,96.0301,2022-03-11,139
229,95.5593,95.5593,95.5593,95.5593,2022-03-14,31
230,95.5408,95.5408,95.5408,95.5408,2022-03-15,26
231,95.4858,95.4858,95.4858,95.4858,2022-03-16,20
232,95.5998,95.5998,95.5998,95.5998,2022-03-17,23
233,95.7017,95.7017,95.7017,95.7017,2022-03-18,11
234,95.1512,95.1692,95.1401,95.15,2022-03-21,503
235,94.997,94.997,94.997,94.997,2022-03-22,7
236,95.2136,95.2136,95.2136,95.2136,2022-03-23,1
237,95.0865,95.0865,95.0865,95.0865,2022-03-24,4
238,94.6209,94.6209,94.6209,94.6209,2022-03-25,5
239,94.6462,94.6462,94.6462,94.6462,2022-03-28,11
240,94.647,94.647,94.52,94.52,2022-03-29,1004
241,94.8392,94.8392,94.71,94.711,2022-03-30,2615
242,94.8715,95.0089,94.8715,95.0089,2022-03-31,906
243,94.51,95.07,94.51,94.61,2022-04-01,19678
244,94.61,94.61,94.61,94.61,2022-04-04,11
245,94.165,94.18,94.165,94.18,2022-04-05,462
246,94.1,94.111,94.07,94.07,2022-04-06,2898
247,94.0753,94.11,94.0753,94.11,2022-04-07,543
248,93.8651,93.8651,93.8651,93.8651,2022-04-08,1482
249,93.6835,93.71,93.6835,93.71,2022-04-11,327
250,94.0313,94.0313,94.0313,94.0313,2022-04-12,5
251,94.0556,94.0556,94.0556,94.0556,2022-04-13,1305
252,93.715,93.715,93.715,93.715,2022-04-14,3
253,93.665,93.665,93.665,93.665,2022-04-18,2
254,93.2754,93.2754,93.2754,93.2754,2022-04-19,6221
255,93.4,93.4,93.4,93.4,2022-04-20,127
256,93.2292,93.2292,93.2292,93.2292,2022-04-21,3
257,93.1637,93.1637,93.1637,93.1637,2022-04-22,7
258,93.45,93.45,93.4,93.4,2022-04-25,404
259,93.6806,93.6806,93.6149,93.65,2022-04-26,450
260,93.5149,93.62,93.5149,93.62,2022-04-27,514
261,93.4028,93.4028,93.3105,93.3105,2022-04-28,320
262,93.2387,93.27,93.2387,93.26,2022-04-29,11026
263,92.8886,92.8886,92.8886,92.8886,2022-05-02,2
264,92.9452,93.1,92.9452,93.1,2022-05-03,755
265,93.2767,93.2767,92.88,92.88,2022-05-04,803
266,92.9605,92.981,92.79,92.981,2022-05-05,436
267,92.79,92.79,92.79,92.79,2022-05-06,63
268,93.0808,93.0808,92.91,92.91,2022-05-09,1373
269,93.1917,93.2,93.19,93.19,2022-05-10,399
270,93.31,93.31,93.31,93.31,2022-05-11,20
271,93.4797,93.4797,93.4797,93.4797,2022-05-12,29
272,93.305,93.305,93.305,93.305,2022-05-13,11
273,93.475,93.5299,93.46,93.5299,2022-05-16,614
274,93.0897,93.0897,93.0897,93.0897,2022-05-17,3
275,93.245,93.29,93.245,93.26,2022-05-18,601
276,93.4443,93.4443,93.4443,93.4443,2022-05-19,2
277,93.6096,93.6096,93.6096,93.6096,2022-05-20,7
278,93.42,93.42,93.42,93.42,2022-05-23,3
279,93.8124,93.8499,93.8124,93.8499,2022-05-24,199
280,94.0079,94.0079,94.0079,94.0079,2022-05-25,82
281,94.09,94.09,93.994,93.994,2022-05-26,250
282,94.14,94.14,94.09,94.09,2022-05-27,147
283,93.7925,93.7925,93.755,93.78,2022-05-31,268
284,93.495,93.56,93.4514,93.56,2022-06-01,391
285,93.545,93.545,93.545,93.545,2022-06-02,2
286,93.4544,93.63,93.45,93.45,2022-06-03,1692
287,93.1991,93.1991,93.1991,93.1991,2022-06-06,3
288,93.3179,93.3179,93.3179,93.3179,2022-06-07,7
289,93.175,93.175,93.175,93.175,2022-06-08,3
290,93.05,93.0796,93.05,93.0796,2022-06-09,181
291,92.4326,92.72,92.4326,92.72,2022-06-10,153
292,91.527,91.77,91.527,91.77,2022-06-13,114
293,91.1784,91.1784,91.1784,91.1784,2022-06-14,18
294,91.86,91.86,91.86,91.86,2022-06-15,12
295,92.0751,92.0751,92.0751,92.0751,2022-06-16,2
296,92.0378,92.0378,92.0378,92.0378,2022-06-17,52
297,91.905,91.905,91.905,91.905,2022-06-21,12
298,92.3947,92.3947,92.3947,92.3947,2022-06-22,1
299,92.5976,92.5976,92.5976,92.5976,2022-06-23,90
300,92.545,92.6,92.545,92.6,2022-06-24,270
301,92.317,92.397,92.317,92.397,2022-06-27,366
302,92.2145,92.2145,92.2145,92.2145,2022-06-28,7
303,92.5,92.5,92.4299,92.43,2022-06-29,487
304,92.8779,92.8779,92.8779,92.8779,2022-06-30,98
305,93.425,93.425,93.425,93.425,2022-07-01,84
306,93.55,93.55,93.55,93.55,2022-07-05,110
307,93.1014,93.185,93.1014,93.185,2022-07-06,302
308,92.915,92.915,92.915,92.915,2022-07-07,4
309,92.76,92.76,92.76,92.76,2022-07-08,1
310,92.9521,92.9521,92.9521,92.9521,2022-07-11,3
311,93.1,93.1,93.1,93.1,2022-07-12,4
312,93.1258,93.1258,93.0668,93.0668,2022-07-13,186
313,92.9967,92.9967,92.9967,92.9967,2022-07-14,2
314,93.095,93.095,93.095,93.095,2022-07-15,2
315,93.045,93.045,92.85,92.85,2022-07-18,134
316,92.8367,92.8367,92.8367,92.8367,2022-07-19,3
